Citation/Document Number,Type,Relation
"TH50793","Patent","Citation Family Member"
"JP2005045270","Patent","Citation Family Member"
"JP2003100944","Patent","Citation Family Member"
"JP2003078073","Patent","Citation Family Member"
"JP2003077947","Patent","Citation Family Member"
"US7183588","Patent","Citation Family Member"
"CN1993215","Patent","Citation Family Member"
"JP3952084","Patent","Citation Family Member"
"EP1884335A1","Patent","Citation Family Member"
"CN100519132","Patent","Citation Family Member"
"EP1884335A4","Patent","Citation Family Member"
"US8057723","Patent","Citation Family Member"
"JP2006126438","Patent","Citation Family Member"
"JP4739842","Patent","Citation Family Member"
"JP4857709","Patent","Citation Family Member"
"JP5232369","Patent","Citation Family Member"
"JP2013138221","Patent","Citation Family Member"
"JP2015181201","Patent","Citation Family Member"
"JP5956937","Patent","Citation Family Member"
"JP5298468","Patent","Citation Family Member"
"US2009050925","Patent","Citation Family Member"
"US2013193436","Patent","Citation Family Member"
"US9502624","Patent","Citation Family Member"
"US9634204","Patent","Citation Family Member"
"US2017229615","Patent","Citation Family Member"
"US9929318","Patent","Citation Family Member"
"US2018175253","Patent","Citation Family Member"
"US10263161","Patent","Citation Family Member"
"US2019273188","Patent","Citation Family Member"
"US10686102","Patent","Citation Family Member"
"US2020274034","Patent","Citation Family Member"
"US10971656","Patent","Citation Family Member"
"US2021193878","Patent","Citation Family Member"
"US11631790","Patent","Citation Family Member"
"JP2008144127","Patent","Citation Family Member"
"TW200900448","Patent","Citation Family Member"
"KR20090077957","Patent","Citation Family Member"
"EP2100908A1","Patent","Citation Family Member"
"CN101535366","Patent","Citation Family Member"
"EP2100908A4","Patent","Citation Family Member"
"CN102408541","Patent","Citation Family Member"
"CN102408542","Patent","Citation Family Member"
"CN102408543","Patent","Citation Family Member"
"CN102408544","Patent","Citation Family Member"
"CN102516712","Patent","Citation Family Member"
"JP2012138610","Patent","Citation Family Member"
"CN102751430","Patent","Citation Family Member"
"JP2012212935","Patent","Citation Family Member"
"KR20110086146","Patent","Citation Family Member"
"KR20110086147","Patent","Citation Family Member"
"KR20110086143","Patent","Citation Family Member"
"KR20110086144","Patent","Citation Family Member"
"KR20110086145","Patent","Citation Family Member"
"JP2012227547","Patent","Citation Family Member"
"JP2012238876","Patent","Citation Family Member"
"JP2012254633","Patent","Citation Family Member"
"JP2013127068","Patent","Citation Family Member"
"KR101308173","Patent","Citation Family Member"
"KR101308263","Patent","Citation Family Member"
