Citation/Document Number,Type,Relation
"FR2231378","Patent","Citation Family Member"
"ES372424","Patent","Citation Family Member"
"AR195271","Patent","Citation Family Member"
"AR196001","Patent","Citation Family Member"
"AR206797","Patent","Citation Family Member"
"AR211841","Patent","Citation Family Member"
"CA992538","Patent","Citation Family Member"
"DE2149645","Patent","Citation Family Member"
"ES395778","Patent","Citation Family Member"
"ES426484","Patent","Citation Family Member"
"AU197468926","Patent","Citation Family Member"
"AU197134347","Patent","Citation Family Member"
"FR2110283","Patent","Citation Family Member"
"FR2020848","Patent","Citation Family Member"
"JP50019763","Patent","Citation Family Member"
"IE39574","Patent","Citation Family Member"
"AT325629","Patent","Citation Family Member"
"JP48020289","Patent","Citation Family Member"
"JP50019554","Patent","Citation Family Member"
"DD112128","Patent","Citation Family Member"
"SE7405828","Patent","Citation Family Member"
"HU166467","Patent","Citation Family Member"
"PL88793","Patent","Citation Family Member"
"PL88946","Patent","Citation Family Member"
"RO63664","Patent","Citation Family Member"
"DE673522","Patent","Citation Family Member"
"BR8006061","Patent","Citation Family Member"
"DK402280","Patent","Citation Family Member"
"NZ195025","Patent","Citation Family Member"
"YU243280","Patent","Citation Family Member"
"ZA8005885","Patent","Citation Family Member"
"IL61118","Patent","Citation Family Member"
"ES495249","Patent","Citation Family Member"
"CA1181088","Patent","Citation Family Member"
"DE2938595","Patent","Citation Family Member"
"MA18956","Patent","Citation Family Member"
"AU198062642","Patent","Citation Family Member"
"ES8201519","Patent","Citation Family Member"
"JP56055357","Patent","Citation Family Member"
"DD154697","Patent","Citation Family Member"
"SI8012432","Patent","Citation Family Member"
"DK164045","Patent","Citation Family Member"
"HU182205","Patent","Citation Family Member"
"IE50314","Patent","Citation Family Member"
"YU42355","Patent","Citation Family Member"
"HR930518","Patent","Citation Family Member"
"AU529324","Patent","Citation Family Member"
"JP2059135","Patent","Citation Family Member"
"JP1630682","Patent","Citation Family Member"
"DE3066058","Patent","Citation Family Member"
"IE801982","Patent","Citation Family Member"
"ZA201300572","Patent","Citation Family Member"
"PH2013500150","Patent","Citation Family Member"
"TW201208687","Patent","Citation Family Member"
"CN103038218","Patent","Citation Family Member"
"KR20130136442","Patent","Citation Family Member"
"TH152428","Patent","Citation Family Member"
"ID201600073","Patent","Citation Family Member"
"IL224342","Patent","Citation Family Member"
"JP2012014963","Patent","Citation Family Member"
"MX2013001202","Patent","Citation Family Member"
"WO12014963","Patent","Citation Family Member"
"WO2012014963","Patent","Citation Family Member"
"EA201390180","Patent","Citation Family Member"
"BR112013003481","Patent","Citation Family Member"
"AU2011283563","Patent","Citation Family Member"
"CA2806821","Patent","Citation Family Member"
"US2013143874","Patent","Citation Family Member"
"TWI482622","Patent","Citation Family Member"
"MX341394","Patent","Citation Family Member"
"JP5776691","Patent","Citation Family Member"
"EA024353","Patent","Citation Family Member"
"RS55186","Patent","Citation Family Member"
"KR101760158","Patent","Citation Family Member"
"US8791106","Patent","Citation Family Member"
"UA109550","Patent","Citation Family Member"
"DE602011028000","Patent","Citation Family Member"
"LT2599774","Patent","Citation Family Member"
"PT2599774","Patent","Citation Family Member"
"HR20161111","Patent","Citation Family Member"
"SI2599774","Patent","Citation Family Member"
"CY1118049","Patent","Citation Family Member"
"HU031639","Patent","Citation Family Member"
"DK2599774","Patent","Citation Family Member"
"ES2592161","Patent","Citation Family Member"
"PL2599774","Patent","Citation Family Member"
"TR201613877","Patent","Citation Family Member"
"DK88679","Patent","Citation Family Member"
"CH639085","Patent","Citation Family Member"
"FI790686","Patent","Citation Family Member"
"LU80989","Patent","Citation Family Member"
"PT69303","Patent","Citation Family Member"
"CA1126282","Patent","Citation Family Member"
"ES478210","Patent","Citation Family Member"
"FR2423487","Patent","Citation Family Member"
"SE445346","Patent","Citation Family Member"
"DK149853","Patent","Citation Family Member"
"SE7900889","Patent","Citation Family Member"
"ZA8201850","Patent","Citation Family Member"
"KR830008987","Patent","Citation Family Member"
"KR19830008987","Patent","Citation Family Member"
"IL65284","Patent","Citation Family Member"
"ES510560","Patent","Citation Family Member"
"ES524647","Patent","Citation Family Member"
"DE3110894","Patent","Citation Family Member"
"EP0061110","Patent","Citation Family Member"
"ES8401444","Patent","Citation Family Member"
"ES8404314","Patent","Citation Family Member"
"DE3260518","Patent","Citation Family Member"
"JP2012217","Patent","Citation Family Member"
"WO03064369","Patent","Citation Family Member"
"WO2003064369","Patent","Citation Family Member"
"JP2003064369","Patent","Citation Family Member"
"EP1471049","Patent","Citation Family Member"
"AU2003207294","Patent","Citation Family Member"
"CA2473162","Patent","Citation Family Member"
"US7230031","Patent","Citation Family Member"
"CA2463464","Patent","Citation Family Member"
"SV2007002226","Patent","Citation Family Member"
"GT200500253","Patent","Citation Family Member"
"TH78676","Patent","Citation Family Member"
"TW200613255","Patent","Citation Family Member"
"BRPI0514675","Patent","Citation Family Member"
"PE04572006","Patent","Citation Family Member"
"CL2005002352","Patent","Citation Family Member"
"PE20060457","Patent","Citation Family Member"
"NL1029919","Patent","Citation Family Member"
"EP1791807","Patent","Citation Family Member"
"UY29108","Patent","Citation Family Member"
"MX2007002732","Patent","Citation Family Member"
"AR050798","Patent","Citation Family Member"
"CA2580024","Patent","Citation Family Member"
"JP2008512438","Patent","Citation Family Member"
"CN101115734","Patent","Citation Family Member"
"MX2007007103","Patent","Citation Family Member"
"WO06065686","Patent","Citation Family Member"
"WO2006065686","Patent","Citation Family Member"
"EP1836183","Patent","Citation Family Member"
"BRPI0519013","Patent","Citation Family Member"
