Citation/Document Number,Type,Relation
"BRPI0517476","Patent","Citation Family Member"
"EP2000067A1","Patent","Citation Family Member"
"EP1827188B1","Patent","Citation Family Member"
"CN101332046","Patent","Citation Family Member"
"AT421275","Patent","Citation Family Member"
"DE602005012543","Patent","Citation Family Member"
"DK1827188","Patent","Citation Family Member"
"ES2319319","Patent","Citation Family Member"
"CN100569162","Patent","Citation Family Member"
"EP2000067B1","Patent","Citation Family Member"
"AT469588","Patent","Citation Family Member"
"DE602005021715","Patent","Citation Family Member"
"ES2344488","Patent","Citation Family Member"
"EP1972241B1","Patent","Citation Family Member"
"AT485750","Patent","Citation Family Member"
"DE602005024461","Patent","Citation Family Member"
"ES2351928","Patent","Citation Family Member"
"HK1111325","Patent","Citation Family Member"
"CA2587258","Patent","Citation Family Member"
"WO06050900A1","Patent","Citation Family Member"
"HR20070200","Patent","Citation Family Member"
"NO20073004","Patent","Citation Family Member"
"ZA200705061","Patent","Citation Family Member"
"US7669517","Patent","Citation Family Member"
"PT1827188","Patent","Citation Family Member"
"RU2381734","Patent","Citation Family Member"
"US2010151101","Patent","Citation Family Member"
"IL182860","Patent","Citation Family Member"
"PT2000067","Patent","Citation Family Member"
"PT1972241","Patent","Citation Family Member"
"MA29011","Patent","Citation Family Member"
"JP2011245315","Patent","Citation Family Member"
"US8172453","Patent","Citation Family Member"
"JP2008519621","Patent","Citation Family Member"
"KR20120131213","Patent","Citation Family Member"
"RU2007121688","Patent","Citation Family Member"
"KR101254052","Patent","Citation Family Member"
"JP5183208","Patent","Citation Family Member"
"KR101269913","Patent","Citation Family Member"
"JP5451691","Patent","Citation Family Member"
"IN266398","Patent","Citation Family Member"
"KR20070086077","Patent","Citation Family Member"
"TN2007000181","Patent","Citation Family Member"
"MX2007005691","Patent","Citation Family Member"
"TNSN07181","Patent","Citation Family Member"
"PL1827188","Patent","Citation Family Member"
"PL1972241","Patent","Citation Family Member"
"MX279740","Patent","Citation Family Member"
"CN107401333","Patent","Citation Family Member"
"WO07090168A2","Patent","Citation Family Member"
"US2007279002","Patent","Citation Family Member"
"WO07090168A3","Patent","Citation Family Member"
"WO08137996A1","Patent","Citation Family Member"
"US2009096413","Patent","Citation Family Member"
"EP2151037A1","Patent","Citation Family Member"
"JP2010527226","Patent","Citation Family Member"
"WO10129369A2","Patent","Citation Family Member"
"WO10129369A3","Patent","Citation Family Member"
"CN101971453","Patent","Citation Family Member"
"US2011050164","Patent","Citation Family Member"
"US7948208","Patent","Citation Family Member"
"US7952322","Patent","Citation Family Member"
"US2011221385","Patent","Citation Family Member"
"US8169185","Patent","Citation Family Member"
"US2012126745","Patent","Citation Family Member"
"US2012256585","Patent","Citation Family Member"
"US2013093388","Patent","Citation Family Member"
"US2013099563","Patent","Citation Family Member"
"EP2151037A4","Patent","Citation Family Member"
"US2013175983","Patent","Citation Family Member"
"US2013260677","Patent","Citation Family Member"
"US8629652","Patent","Citation Family Member"
"US8629654","Patent","Citation Family Member"
"US2014103873","Patent","Citation Family Member"
"JP2014168380","Patent","Citation Family Member"
"US8947047","Patent","Citation Family Member"
"CN104467129","Patent","Citation Family Member"
"US2015145475","Patent","Citation Family Member"
"US9276437","Patent","Citation Family Member"
"HK1208963","Patent","Citation Family Member"
"US2016181860","Patent","Citation Family Member"
"US9461501","Patent","Citation Family Member"
"US2017025896","Patent","Citation Family Member"
"US9577440","Patent","Citation Family Member"
"US9601943","Patent","Citation Family Member"
"US2017194809","Patent","Citation Family Member"
"US9793721","Patent","Citation Family Member"
"US2018041047","Patent","Citation Family Member"
"US10044229","Patent","Citation Family Member"
"US11121580","Patent","Citation Family Member"
"US11211975","Patent","Citation Family Member"
"US2021408827","Patent","Citation Family Member"
"US2022123786","Patent","Citation Family Member"
"US11329511","Patent","Citation Family Member"
"US2022255352","Patent","Citation Family Member"
"US11424623","Patent","Citation Family Member"
"US2022399760","Patent","Citation Family Member"
"US11601017","Patent","Citation Family Member"
"US11606119","Patent","Citation Family Member"
"US2023208197","Patent","Citation Family Member"
"US2023216544","Patent","Citation Family Member"
"US12191674","Patent","Citation Family Member"
"US2025088217","Patent","Citation Family Member"
"US2025141269","Patent","Citation Family Member"
"WO08087644A2","Patent","Citation Family Member"
"WO08087644A3","Patent","Citation Family Member"
"EP2107880A2","Patent","Citation Family Member"
"US2008217285","Patent","Citation Family Member"
"WO08112504A1","Patent","Citation Family Member"
"CN101541409","Patent","Citation Family Member"
"CN101902064","Patent","Citation Family Member"
"AU2014242042","Patent","Citation Family Member"
"AU2011323416","Patent","Citation Family Member"
"AU2016216669","Patent","Citation Family Member"
"AU2019200595","Patent","Citation Family Member"
"AU2019236611","Patent","Citation Family Member"
"AU2015280437","Patent","Citation Family Member"
"AU2021236464","Patent","Citation Family Member"
"AU2024209316","Patent","Citation Family Member"
"US2012103562","Patent","Citation Family Member"
"WO12061527A1","Patent","Citation Family Member"
"US2013200064","Patent","Citation Family Member"
"EP2636118A1","Patent","Citation Family Member"
"CN103430416","Patent","Citation Family Member"
"US8618448","Patent","Citation Family Member"
"JP2014504167","Patent","Citation Family Member"
"US2014165607","Patent","Citation Family Member"
"US8759721","Patent","Citation Family Member"
"WO14158655A2","Patent","Citation Family Member"
"US2014305927","Patent","Citation Family Member"
"WO14158655A3","Patent","Citation Family Member"
"US2015245723","Patent","Citation Family Member"
"WO15200074A2","Patent","Citation Family Member"
"EP2967253A2","Patent","Citation Family Member"
"CN105338865","Patent","Citation Family Member"
"WO15200074A3","Patent","Citation Family Member"
"CN105496128","Patent","Citation Family Member"
"EP2636118A4","Patent","Citation Family Member"
"EP2967253A4","Patent","Citation Family Member"
"US2017042373","Patent","Citation Family Member"
"EP3157399A2","Patent","Citation Family Member"
"HK1219852","Patent","Citation Family Member"
"CN106998957","Patent","Citation Family Member"
"HK1223803","Patent","Citation Family Member"
"WO17196719A1","Patent","Citation Family Member"
"US2017340146","Patent","Citation Family Member"
"EP3157399A4","Patent","Citation Family Member"
"WO17196719A8","Patent","Citation Family Member"
"JP6292878","Patent","Citation Family Member"
"US9974401","Patent","Citation Family Member"
"US2018220819","Patent","Citation Family Member"
"CA3014083","Patent","Citation Family Member"
"HK1189715","Patent","Citation Family Member"
"CA2955921","Patent","Citation Family Member"
"HK1235642","Patent","Citation Family Member"
"US2018360264","Patent","Citation Family Member"
"CN109330393","Patent","Citation Family Member"
"EP2967253B1","Patent","Citation Family Member"
"CN109938614","Patent","Citation Family Member"
"EP3510903A2","Patent","Citation Family Member"
"EP2636118B1","Patent","Citation Family Member"
"US2019223635","Patent","Citation Family Member"
"CA2900398","Patent","Citation Family Member"
"CA3052826","Patent","Citation Family Member"
"EP3510903A3","Patent","Citation Family Member"
"EP3563734A1","Patent","Citation Family Member"
"EP3582362A1","Patent","Citation Family Member"
"EP3157399B1","Patent","Citation Family Member"
"HK40003983","Patent","Citation Family Member"
"CA2816690","Patent","Citation Family Member"
"US10743708","Patent","Citation Family Member"
"US2020367691","Patent","Citation Family Member"
"DE602011060567","Patent","Citation Family Member"
"DE602015052403","Patent","Citation Family Member"
"EP3563734B1","Patent","Citation Family Member"
"DE602014047592","Patent","Citation Family Member"
"EP3582362B1","Patent","Citation Family Member"
"DE602014076081","Patent","Citation Family Member"
"DE602011070729","Patent","Citation Family Member"
"EP3858202A1","Patent","Citation Family Member"
"US11083332","Patent","Citation Family Member"
"US11089891","Patent","Citation Family Member"
"EP3876385A1","Patent","Citation Family Member"
"HK40007792","Patent","Citation Family Member"
"HK40010375","Patent","Citation Family Member"
"US2022053971","Patent","Citation Family Member"
"HK40059787","Patent","Citation Family Member"
"CN115500696","Patent","Citation Family Member"
"US2023088824","Patent","Citation Family Member"
"US2023108807","Patent","Citation Family Member"
"US2023148790","Patent","Citation Family Member"
"EP3876385B1","Patent","Citation Family Member"
"EP4224676A1","Patent","Citation Family Member"
"HK40085697","Patent","Citation Family Member"
"EP3510903B1","Patent","Citation Family Member"
"US11771260","Patent","Citation Family Member"
"US11771261","Patent","Citation Family Member"
"EP4272722A2","Patent","Citation Family Member"
"EP3510903C0","Patent","Citation Family Member"
"EP4272722A3","Patent","Citation Family Member"
"ES2957934","Patent","Citation Family Member"
"US2024041250","Patent","Citation Family Member"
"DE602015085489","Patent","Citation Family Member"
"DE602011073890","Patent","Citation Family Member"
