Citation/Document Number,Type,Relation
"EP1613320","Patent","Citation Family Member"
"MXPA05009303","Patent","Citation Family Member"
"AR043822","Patent","Citation Family Member"
"CA2520932","Patent","Citation Family Member"
"AU2004226586","Patent","Citation Family Member"
"RU2341263","Patent","Citation Family Member"
"JP2006522087","Patent","Citation Family Member"
"RU2007120635","Patent","Citation Family Member"
"TW200630345","Patent","Citation Family Member"
"KR20070085727","Patent","Citation Family Member"
"CN101094836","Patent","Citation Family Member"
"ZA200704350","Patent","Citation Family Member"
"IL183605","Patent","Citation Family Member"
"HK1113568","Patent","Citation Family Member"
"MX2007006554","Patent","Citation Family Member"
"WO06048746","Patent","Citation Family Member"
"WO2006048746","Patent","Citation Family Member"
"WO06048761","Patent","Citation Family Member"
"WO2006048761","Patent","Citation Family Member"
"EP1814859","Patent","Citation Family Member"
"AU2005300241","Patent","Citation Family Member"
"CA2591313","Patent","Citation Family Member"
"AR053773","Patent","Citation Family Member"
"RU2007116150","Patent","Citation Family Member"
"TW200630356","Patent","Citation Family Member"
"KR20070060145","Patent","Citation Family Member"
"BRPI0517924","Patent","Citation Family Member"
"ZA200702976","Patent","Citation Family Member"
"IL182580","Patent","Citation Family Member"
"HK1109146","Patent","Citation Family Member"
"WO06048751","Patent","Citation Family Member"
"WO2006048751","Patent","Citation Family Member"
"EP1819696","Patent","Citation Family Member"
"MX2007005273","Patent","Citation Family Member"
"CA2586177","Patent","Citation Family Member"
"AR051945","Patent","Citation Family Member"
"AU2005300317","Patent","Citation Family Member"
"JP2008518904","Patent","Citation Family Member"
"RU2007116107","Patent","Citation Family Member"
"TW200621721","Patent","Citation Family Member"
"NO20071619","Patent","Citation Family Member"
"KR20070058690","Patent","Citation Family Member"
"CN101052633","Patent","Citation Family Member"
"ZA200702977","Patent","Citation Family Member"
"IL182693","Patent","Citation Family Member"
"HK1107090","Patent","Citation Family Member"
"WO06048744","Patent","Citation Family Member"
"WO2006048744","Patent","Citation Family Member"
"EP1809621","Patent","Citation Family Member"
"MX2007005291","Patent","Citation Family Member"
"BRPI0518203","Patent","Citation Family Member"
"CA2586174","Patent","Citation Family Member"
"US2006094881","Patent","Citation Family Member"
"AR051754","Patent","Citation Family Member"
"AU2005300310","Patent","Citation Family Member"
"TWI294421","Patent","Citation Family Member"
"JP2008518900","Patent","Citation Family Member"
"WO06123223","Patent","Citation Family Member"
"WO2006123223","Patent","Citation Family Member"
"EP1885338","Patent","Citation Family Member"
