Citation/Document Number,Type,Relation
"RU2582964","Patent","Citation"
"TWI304061","Patent","Citation"
"US10259791","Patent","Citation"
"US10259817","Patent","Citation"
"US10407393","Patent","Citation"
"US10517861","Patent","Citation"
"US10583133","Patent","Citation"
"US10822307","Patent","Citation"
"US2002010203","Patent","Citation"
"US2002032217","Patent","Citation"
"US2002040127","Patent","Citation"
"US2003013208","Patent","Citation"
"US2003087907","Patent","Citation"
"US2003113713","Patent","Citation"
"US2003124129","Patent","Citation"
"US2003187019","Patent","Citation"
"US2003215523","Patent","Citation"
"US2004002505","Patent","Citation"
"US2004009965","Patent","Citation"
"US2004034026","Patent","Citation"
"US2004053908","Patent","Citation"
"US2004086915","Patent","Citation"
"US2004132727","Patent","Citation"
"US2004132772","Patent","Citation"
"US2004152759","Patent","Citation"
"US2004162333","Patent","Citation"
"US2004167134","Patent","Citation"
"US2004171068","Patent","Citation"
"US2004191254","Patent","Citation"
"US2004198806","Patent","Citation"
"US2004224972","Patent","Citation"
"US2004229876","Patent","Citation"
"US2004242506","Patent","Citation"
"US2004243205","Patent","Citation"
"US2004253205","Patent","Citation"
"US2004259834","Patent","Citation"
"US2005014727","Patent","Citation"
"US2005049264","Patent","Citation"
"US2005119303","Patent","Citation"
"US2005176802","Patent","Citation"
"US2005187236","Patent","Citation"
"US2005209452","Patent","Citation"
"US2005261337","Patent","Citation"
"US2005272688","Patent","Citation"
"US2005277652","Patent","Citation"
"US2005288521","Patent","Citation"
"US2006004017","Patent","Citation"
"US2006004029","Patent","Citation"
"US2006018909","Patent","Citation"
"US2006057195","Patent","Citation"
"US2006079494","Patent","Citation"
"US2006104984","Patent","Citation"
"US2006135486","Patent","Citation"
"US2006160832","Patent","Citation"
"US2006178399","Patent","Citation"
"US2006189629","Patent","Citation"
"US2006246071","Patent","Citation"
"US2006247259","Patent","Citation"
"US2006252777","Patent","Citation"
"US2006292192","Patent","Citation"
"US2007004773","Patent","Citation"
"US2007014856","Patent","Citation"
"US2007027318","Patent","Citation"
"US2007032521","Patent","Citation"
"US2007037849","Patent","Citation"
"US2007078159","Patent","Citation"
"US2007117842","Patent","Citation"
"US2007214604","Patent","Citation"
"US2007254930","Patent","Citation"
"US2007298111","Patent","Citation"
"US2008207617","Patent","Citation"
"US2008214557","Patent","Citation"
"US2008214604","Patent","Citation"
"US2008214606","Patent","Citation"
"US2008241835","Patent","Citation"
"US2008246404","Patent","Citation"
"US2008267971","Patent","Citation"
"US2008280302","Patent","Citation"
"US2008286282","Patent","Citation"
"US2009028858","Patent","Citation"
"US2009042213","Patent","Citation"
"US2009047278","Patent","Citation"
"US2009047365","Patent","Citation"
"US2009053236","Patent","Citation"
"US2009104285","Patent","Citation"
"US2009171112","Patent","Citation"
"US2009191212","Patent","Citation"
"US2009202541","Patent","Citation"
"US2009209580","Patent","Citation"
"US2009217401","Patent","Citation"
"US2009247576","Patent","Citation"
"US2009264464","Patent","Citation"
"US2009304694","Patent","Citation"
"US2009311175","Patent","Citation"
"US2010048503","Patent","Citation"
"US2010048620","Patent","Citation"
"US2010092490","Patent","Citation"
"US2010105031","Patent","Citation"
"US2010197911","Patent","Citation"
"US2010239688","Patent","Citation"
"US2010324087","Patent","Citation"
"US2011020410","Patent","Citation"
"US2011028498","Patent","Citation"
"US2011060049","Patent","Citation"
"US2011104161","Patent","Citation"
"US2011118470","Patent","Citation"
"US2011158983","Patent","Citation"
"US2011166174","Patent","Citation"
"US2011172446","Patent","Citation"
"US2011207756","Patent","Citation"
"US2011271358","Patent","Citation"
"US2011293615","Patent","Citation"
"US2011311546","Patent","Citation"
"US2012022076","Patent","Citation"
"US2012052073","Patent","Citation"
"US2012053177","Patent","Citation"
"US2012077837","Patent","Citation"
"US2012077842","Patent","Citation"
"US2012184452","Patent","Citation"
"US2012207753","Patent","Citation"
"US2012219522","Patent","Citation"
"US2012244209","Patent","Citation"
"US2012263677","Patent","Citation"
"US2012283206","Patent","Citation"
"US2013071403","Patent","Citation"
"US2013085152","Patent","Citation"
"US2013108626","Patent","Citation"
"US2013121999","Patent","Citation"
"US2013123274","Patent","Citation"
"US2013133091","Patent","Citation"
"US2013142799","Patent","Citation"
"US2013171135","Patent","Citation"
"US2013171160","Patent","Citation"
"US2013183300","Patent","Citation"
"US2013183301","Patent","Citation"
"US2013183302","Patent","Citation"
"US2013183303","Patent","Citation"
"US2013195857","Patent","Citation"
"US2013225581","Patent","Citation"
"US2013237565","Patent","Citation"
"US2013243758","Patent","Citation"
"US2013296365","Patent","Citation"
"US2013309250","Patent","Citation"
"US2013336959","Patent","Citation"
"US2013336960","Patent","Citation"
"US2013344059","Patent","Citation"
"US2013344060","Patent","Citation"
"US2014017231","Patent","Citation"
"US2014017232","Patent","Citation"
"US2014023639","Patent","Citation"
"US2014023640","Patent","Citation"
"US2014031384","Patent","Citation"
"US2014056874","Patent","Citation"
"US2014056875","Patent","Citation"
"US2014056876","Patent","Citation"
"US2014079706","Patent","Citation"
"US2014148483","Patent","Citation"
"US2014193397","Patent","Citation"
"US2014212422","Patent","Citation"
"US2014234296","Patent","Citation"
"US2014243316","Patent","Citation"
"US2014294852","Patent","Citation"
"US2014302019","Patent","Citation"
"US2014328833","Patent","Citation"
"US2014348743","Patent","Citation"
"US2015005343","Patent","Citation"
"US2015125455","Patent","Citation"
"US2015165025","Patent","Citation"
"US2015175615","Patent","Citation"
"US2015210769","Patent","Citation"
"US2015366866","Patent","Citation"
"US2016222118","Patent","Citation"
"US2017088615","Patent","Citation"
"US2017191137","Patent","Citation"
"US2017233344","Patent","Citation"
"US4000278","Patent","Citation"
"US4526988","Patent","Citation"
"US4563417","Patent","Citation"
"US4582789","Patent","Citation"
"US4742003","Patent","Citation"
"US4743450","Patent","Citation"
"US4764454","Patent","Citation"
"US4816567","Patent","Citation"
"US5009894","Patent","Citation"
"US5120548","Patent","Citation"
"US5180818","Patent","Citation"
"US5211951","Patent","Citation"
"US5445934","Patent","Citation"
"US5464826","Patent","Citation"
"US5487889","Patent","Citation"
"US5553037","Patent","Citation"
"US5624937","Patent","Citation"
"US5633006","Patent","Citation"
"US5650376","Patent","Citation"
"US5656454","Patent","Citation"
"US5658374","Patent","Citation"
"US5686104","Patent","Citation"
"US5733913","Patent","Citation"
"US5747651","Patent","Citation"
"US5750376","Patent","Citation"
"US5770599","Patent","Citation"
"US5792783","Patent","Citation"
"US5891996","Patent","Citation"
"US5948438","Patent","Citation"
"US6027880","Patent","Citation"
"US6057100","Patent","Citation"
"US6143764","Patent","Citation"
"US6156501","Patent","Citation"
"US6156522","Patent","Citation"
"US6214865","Patent","Citation"
"US6217866","Patent","Citation"
"US6242002","Patent","Citation"
"US6261776","Patent","Citation"
"US6329511","Patent","Citation"
"US6346398","Patent","Citation"
